帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,955,4053,0.23562792992844805
69da7e87000000001a03484e,1,1133,4053,0.27954601529731066
69da7e87000000001a03484e,2,887,4053,0.21885023439427584
69da7e87000000001a03484e,3,109,4053,0.02689365901801135
69da7e87000000001a03484e,4,340,4053,0.08388847767086109
69da7e87000000001a03484e,5,533,4053,0.13150752528990872
69da7e87000000001a03484e,6,96,4053,0.023686158401184307
69e4412a000000002103883f,0,63,294,0.21428571428571427
69e4412a000000002103883f,1,100,294,0.3401360544217687
69e4412a000000002103883f,2,66,294,0.22448979591836735
69e4412a000000002103883f,3,10,294,0.034013605442176874
69e4412a000000002103883f,4,12,294,0.04081632653061224
69e4412a000000002103883f,5,16,294,0.05442176870748299
69e4412a000000002103883f,6,27,294,0.09183673469387756
69e44278000000001a0217bb,0,71,226,0.3141592920353982
69e44278000000001a0217bb,1,39,226,0.17256637168141592
69e44278000000001a0217bb,2,65,226,0.28761061946902655
69e44278000000001a0217bb,3,3,226,0.01327433628318584
69e44278000000001a0217bb,4,14,226,0.061946902654867256
69e44278000000001a0217bb,5,29,226,0.12831858407079647
69e44278000000001a0217bb,6,5,226,0.022123893805309734
69e447d2000000001d01aa01,0,149,891,0.16722783389450055
69e447d2000000001d01aa01,1,187,891,0.20987654320987653
69e447d2000000001d01aa01,2,94,891,0.10549943883277217
69e447d2000000001d01aa01,3,14,891,0.015712682379349047
69e447d2000000001d01aa01,4,61,891,0.06846240179573512
69e447d2000000001d01aa01,5,22,891,0.024691358024691357
69e447d2000000001d01aa01,6,364,891,0.40852974186307517
69e44fbf000000001e00cc6a,0,1,8,0.125
69e44fbf000000001e00cc6a,2,1,8,0.125
69e44fbf000000001e00cc6a,4,1,8,0.125
69e44fbf000000001e00cc6a,6,5,8,0.625
69e4551e000000001f005895,0,43,245,0.17551020408163265
69e4551e000000001f005895,1,83,245,0.33877551020408164
69e4551e000000001f005895,2,55,245,0.22448979591836735
69e4551e000000001f005895,3,15,245,0.061224489795918366
69e4551e000000001f005895,4,4,245,0.0163265306122449
69e4551e000000001f005895,5,35,245,0.14285714285714285
69e4551e000000001f005895,6,10,245,0.04081632653061224
69e45dbe000000001f00434f,0,65,334,0.19461077844311378
69e45dbe000000001f00434f,1,142,334,0.4251497005988024
69e45dbe000000001f00434f,2,74,334,0.2215568862275449
69e45dbe000000001f00434f,3,3,334,0.008982035928143712
69e45dbe000000001f00434f,4,7,334,0.020958083832335328
69e45dbe000000001f00434f,5,18,334,0.05389221556886228
69e45dbe000000001f00434f,6,25,334,0.0748502994011976
69e463df000000001b003017,0,27,153,0.17647058823529413
69e463df000000001b003017,1,60,153,0.39215686274509803
69e463df000000001b003017,2,23,153,0.1503267973856209
69e463df000000001b003017,3,7,153,0.0457516339869281
69e463df000000001b003017,4,1,153,0.006535947712418301
69e463df000000001b003017,5,9,153,0.058823529411764705
69e463df000000001b003017,6,26,153,0.16993464052287582
69e46730000000001d0199c8,0,89,399,0.22305764411027568
69e46730000000001d0199c8,1,107,399,0.2681704260651629
69e46730000000001d0199c8,2,142,399,0.3558897243107769
69e46730000000001d0199c8,3,6,399,0.015037593984962405
69e46730000000001d0199c8,4,17,399,0.042606516290726815
69e46730000000001d0199c8,5,11,399,0.02756892230576441
69e46730000000001d0199c8,6,27,399,0.06766917293233082
69e481e8000000002003ad94,0,1850,7553,0.24493578710446182
69e481e8000000002003ad94,1,799,7553,0.10578578048457567
69e481e8000000002003ad94,2,927,7553,0.12273268899774924
69e481e8000000002003ad94,3,1533,7553,0.20296570898980537
69e481e8000000002003ad94,4,1020,7553,0.1350456772143519
69e481e8000000002003ad94,5,704,7553,0.09320799682245465
69e481e8000000002003ad94,6,720,7553,0.09532636038660135
69e48341000000001a02d0c4,0,151,676,0.22337278106508876
69e48341000000001a02d0c4,1,129,676,0.1908284023668639
69e48341000000001a02d0c4,2,154,676,0.22781065088757396
69e48341000000001a02d0c4,3,11,676,0.016272189349112426
69e48341000000001a02d0c4,4,112,676,0.16568047337278108
69e48341000000001a02d0c4,5,96,676,0.14201183431952663
69e48341000000001a02d0c4,6,23,676,0.034023668639053255
