帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4a662000000001401a016,69e4a2e5000000001401b816,604d8387000000000100a4db,那也是他的心血和作品，确实跟自己孩子似的,2026.04.19,湖南,4242.0,,20,弱势|同伴,弱势,同伴,5,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,1,69e43311000000001401e428,,63f0a8d8000000001400d2a3,能跑完全程就很厉害了，有些直接摔烂了,2026.04.19,四川,1096.0,33.0,18,弱势|观众,弱势,观众,4,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4ad09000000001401e817,69e4abf1000000001401c014,5e3ffcc400000000010080bf,赛博老大爷遛弯,2026.04.19,北京,861.0,,7,弱势|同伴,弱势,同伴,3,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4e8cf000000001401981a,69e4e394000000001401bc31,6159756f000000000201f18b,看到这里牛马发出一声大笑,2026.04.19,北京,594.0,,12,弱势|同伴,弱势,同伴,4,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e57274000000001401d811,,5bb20a940c1a670001a296d6,他爸看起来年纪也不大,2026.04.20,江苏,486.0,5.0,10,弱势|同伴,弱势,同伴,4,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,1,69e447f6000000001401e037,,5d50cf55000000001102d64a,没事，真到了生不出小孩的那一天，它将是我的儿子哈哈哈哈,2026.04.19,上海,465.0,18.0,27,弱势|观众,弱势,观众,6,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,2,69e43b43000000001401c03f,69e43311000000001401e428,63e31a220000000026012c04,工作人员：少爷，比赛已经结束了，我开车送您回家[doge],2026.04.19,北京,387.0,,29,弱势|观众,弱势,观众,6,弱势,0
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,2,69e717510000000014018c0e,69e7170a000000001401b807,5a3b69814eacab6dcedbb1ba,[害羞R][害羞R]小小的出个圈,2026.04.21,广东,378.0,,16,弱势|观众,弱势,观众,2,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,2,69e44815000000001401d421,69e447f6000000001401e037,5d50cf55000000001102d64a,对不起，也可能是女儿，也可能是无性别的，我要open-minded,2026.04.19,上海,366.0,,33,弱势|观众,弱势,观众,7,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,2,69e436d3000000001401e804,69e4367c0000000014018826,5e2525c500000000010048f1,毕竟是个婴儿还[笑哭R],2026.04.19,北京,363.0,,12,弱势|观众,弱势,观众,2,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4ac930000000014018c2a,69e4a2e5000000001401b816,651b653a000000002402e1a9,现场很多跑不下来的，直接放平或者绑着,2026.04.19,北京,361.0,,18,弱势|同伴,弱势,同伴,5,弱势,0
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,2,69e72659000000001401e408,69e72510000000001401e404,54dae034e7798965bfe4fba6,哈哈哈哈哈哈哈哈哈哈哈心塞！应该让小朋友先跑，锻炼一下大高个们的避障能力,2026.04.21,北京,275.0,,36,弱势|观众,弱势,观众,8,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,2,69e439f9000000001401c426,69e43311000000001401e428,60f3b36e0000000001009e86,并没有，20分钟前刚看到舒服的坐在车后座过去了[笑哭R],2026.04.19,北京,246.0,,28,弱势|观众,弱势,观众,7,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e4c202000000001401e839,,5a9df5e94eacab13b80b113c,这个就跟送自家孩子参加比赛一样 失败了就下次努力,2026.04.19,四川,238.0,1.0,24,弱势|同伴,弱势,同伴,8,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4b438000000001401a812,69e4a2e5000000001401b816,5b7564a826b61b0001455af6,来人，把这个靓仔叉出去,2026.04.19,北京,202.0,,11,弱势|同伴,弱势,同伴,3,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4ac77000000001401cc02,69e4abf1000000001401c014,610a02e7000000000101ef34,不不，走的挺慢的，这是起点两公里的地方,2026.04.19,北京,194.0,,19,弱势|同伴,弱势,同伴,4,弱势,0
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,2,69e7381a0000000014019418,69e72520000000001401e42b,5bc42b13992ffd0001cd724f,已经有网友给配上了，哈哈[偷笑R],2026.04.21,安徽,192.0,,17,弱势|观众,弱势,观众,2,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,2,69e50c5d0000000014019802,69e505d8000000001401a409,5f491bd20000000001001c90,双马尾除外,2026.04.20,广西,180.0,,5,弱势|观众,弱势,观众,2,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4af92000000001401d82d,69e4a2e5000000001401b816,5f9199ce000000000101cb9f,[抠鼻R]自己的心血就是自己的孩子,2026.04.19,四川,168.0,,17,弱势|同伴,弱势,同伴,2,弱势,0
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,2,69e79dff000000001401a417,69e79d67000000001401d426,5a3b69814eacab6dcedbb1ba,[哭惹R] 小朋友被别人嘲笑了,2026.04.21,广东,133.0,,15,弱势|观众,弱势,观众,3,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4afdf000000001401a81a,69e49ee3000000001401c41e,608b9df500000000010094ea,基本考前这么说......,2026.04.19,北京,130.0,,13,弱势|同伴,弱势,同伴,2,弱势,0
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,2,69e71ba5000000001401881a,69e7170a000000001401b807,61a0f81600000000100089aa,可爱无敌，而且那么多中途挂了的，能跑到终点已经很厉害了[笑哭R],2026.04.21,山东,128.0,,32,弱势|观众,弱势,观众,5,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4ab2c000000001401d804,69e4a270000000001401a802,558580cd3397db232de1d0e6,跟你们这些天赋型选手拼了,2026.04.19,北京,122.0,,12,弱势|同伴,弱势,同伴,3,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4ac3b0000000014019823,69e4abf1000000001401c014,5b18068211be102d47275f9c,看着还行啊 走的挺快,2026.04.19,河北,121.0,,10,弱势|同伴,弱势,同伴,3,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e4a2c1000000001401c008,,5e896a06000000000100716e,年轻的牛马和他的心血,2026.04.19,北京,89.0,1.0,10,弱势|同伴,弱势,同伴,3,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,1,69e5aa18000000001401dc37,,625e4fe1000000001000d93c,这玩意就是当玩具卖，也能爆单[doge],2026.04.20,辽宁,84.0,11.0,20,弱势|观众,弱势,观众,3,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4c4c3000000001401cc2a,69e4b7d5000000001401c81d,58cda3fb50c4b406bcfce484,感觉工作人员很开心啊 孩子应该跑的不错,2026.04.19,上海,80.0,,19,弱势|同伴,弱势,同伴,4,弱势,0
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,1,69e73b0c000000001401e020,,668d246400000000030338c2,真的很想买一个回来当小朋友的玩伴耶[暗中观察R],2026.04.21,贵州,75.0,20.0,24,弱势|观众,弱势,观众,5,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e4a2d0000000001401ac06,,5e9176000000000001000a4a,相信他们会把它们“养”好的，感觉今年脚底下利索点了,2026.04.19,河北,74.0,2.0,25,弱势|同伴,弱势,同伴,4,弱势,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,2,69e517740000000014019804,69e505d8000000001401a409,5f491bd20000000001001c90,别过来别过来[惊恐R],2026.04.20,广西,62.0,,11,弱势|观众,弱势,观众,2,弱势,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e4a270000000001401a802,,61a087b8000000001000d34d,这个我懂，在它们统治地球之前，先留一个好印象。,2026.04.19,河北,7973.0,168.0,23,弱势|同伴,弱势,同伴,5,弱势,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e504de000000001401bc03,,5b04fabbb1da141b6a8ed05d,这个程序员也长得很小，有点清澈的孩子气，新的人搂着新的机器人，一代年轻人更比一代强，中国一定会越来越好,2026.04.20,海南,3268.0,17.0,51,弱势|同伴,弱势,同伴,13,弱势,1
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,1,69e4367c0000000014018826,,5bd4164d3a8a5b0001274f5c,笑死�这个机器人刚刚从我面前过去了，它没跑了,2026.04.19,北京,2636.0,42.0,22,弱势|观众,弱势,观众,4,弱势,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4b81d000000001401c836,69e4b7d5000000001401c81d,679105b9000000000d008200,这小机器人坐得略显拘谨啊[笑哭R],2026.04.19,天津,634.0,,17,弱势|同伴,弱势,同伴,4,弱势,1
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,2,69e433680000000014018c0d,69e43311000000001401e428,585b39076a6a6966daddb04a,这个小机器人摔倒还能自己起来呢[派对R],2026.04.19,北京,426.0,,20,弱势|观众,弱势,观众,3,弱势,1
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,1,69e79d67000000001401d426,,5fb5195900000000010023b5,我刚才刷到它摔了，被别的机器人看热闹还鼓掌的营销号[捂脸R],2026.04.21,广东,351.0,13.0,30,弱势|观众,弱势,观众,6,弱势,1
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,2,69e6e48a000000001401ac18,69e6e3f8000000001401900e,5e1685ae000000000100bab0,"人类社会的一切工具和设施都是基于人体打造的，人形机器人可以无障碍接管，不需要对工具和设施进行适配性改造。

同时，情感需求也是一方面，机器人要融入人类社会，与人类共同协作，其外形需要尽量减少隔阂感，且要能与人类以“人类熟悉的方式”进行互动。
所以，人形态是最好的选择。",2026.04.21,广东,168.0,,134,弱势|观众,弱势,观众,43,弱势,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e579520000000014013005,69e57274000000001401d811,5d2ac9e40000000011022298,有很多是大学团队参赛的，大学生来测试研究课题的，还有国外的大学团队。,2026.04.20,浙江,165.0,,34,弱势|同伴,弱势,同伴,10,弱势,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4b042000000001401dc02,69e49ee3000000001401c41e,684a1935000000001d009219,是这样的，属于机器人的高考[笑哭R],2026.04.19,湖北,114.0,,18,弱势|同伴,弱势,同伴,4,弱势,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e58016000000001401d817,69e504de000000001401bc03,641692730000000012013a5a,华北电力大学的大学生啦,2026.04.20,北京,67.0,,11,弱势|同伴,弱势,同伴,2,弱势,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e5a59b000000001401e01c,69e5a52f0000000014019413,64d608b8000000000100f794,这个全称肯定命题是不管研究机器人的女孩子是吗？,2026.04.20,北京,67.0,,23,弱势|同伴,弱势,同伴,7,弱势,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e4afe3000000001401cc03,,68ee567e00000000370084cb,干嘛呢，给机器人上温暖的爱的教育ing[笑哭R][笑哭R]到时候对人类手下留情一下吗,2026.04.19,湖南,49.0,6.0,42,弱势|同伴,弱势,同伴,9,弱势,1
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,1,69e75f670000000014018c18,,5b9d9ccba0f37f0001c27b58,不知道这个机器人是不是我在b站上看到的那位，摔倒了还被宇数机器人观望拍手那个[笑哭R],2026.04.21,浙江,45.0,4.0,43,弱势|观众,弱势,观众,10,弱势,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e5a52f0000000014019413,,55e119a4c2bdeb627e569eea,感觉研究机器人的都是很年轻的小男孩  像商场里卖玩具区那些买机甲战士挑奥特曼的小孩长大了,2026.04.20,北京,43.0,8.0,44,弱势|同伴,弱势,同伴,12,弱势,1
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,1,69e7365b000000001401c81c,,5d25c2460000000011002573,是被大机器人嘲笑的那个机器人吗,2026.04.21,广西,39.0,2.0,15,弱势|观众,弱势,观众,3,弱势,1
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,2,69e71e9b0000000014019c15,69e7170a000000001401b807,5a3b69814eacab6dcedbb1ba,哈哈哈哈我们滴机器人很稳定哦 硬件很稳定[害羞R],2026.04.21,广东,39.0,,25,弱势|观众,弱势,观众,4,弱势,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4b03b0000000014019814,69e4abf1000000001401c014,5fb699a5000000000100a7a1,感觉她的动作是所有机器人里最人的，其他机器人跑的都太机器了,2026.04.19,陕西,31.0,,29,弱势|同伴,弱势,同伴,7,弱势,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e4b1280000000014019c25,,66d440d9000000001d033721,硅基生命有一天占领地球，这张图就是免死金牌,2026.04.19,北京,26.0,0.0,21,弱势|同伴,弱势,同伴,8,弱势,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e572a2000000001401a40e,69e504de000000001401bc03,61122fab00000000010087db,希望能让中国的机器人行业越来越好,2026.04.20,河南,24.0,,16,弱势|同伴,弱势,同伴,5,弱势,1
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,2,69e9a064000000001401e024,69e99fe20000000014019825,60c6e5680000000001004367,因为要检验电池的续航散热和机器人的灵活性，只比头脑比的是ai，不是机器人,2026.04.23,河北,22.0,,36,弱势|观众,弱势,观众,9,弱势,1
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,2,69e598bd000000001401ac1e,69e59624000000001401e815,6120ef22000000000100991c,模拟人形叫机器人，模拟狗形叫机器狗呗,2026.04.20,上海,20.0,,18,弱势|观众,弱势,观众,6,弱势,1
