帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic
69e429b4000000001b00037a,"张杰演唱会机器人来参加半马了？？

",,2026.0,1,69e43784000000001401ac1c,,65f3c613000000000500e6cd,在一阵夸夸声中逐渐迷失了自我，忘了自己是来比赛的,2026.04.19,湖南,5989.0,166.0,24,常态|观众,常态,观众,7,常态,0
69e429b4000000001b00037a,"张杰演唱会机器人来参加半马了？？

",,2026.0,1,69e447a4000000001401c801,,5e5b5db70000000001000b8b,娱乐圈出身的確实是不一样的[笑哭R],2026.04.19,广东,5083.0,188.0,18,常态|观众,常态,观众,5,常态,0
69e429b4000000001b00037a,"张杰演唱会机器人来参加半马了？？

",,2026.0,1,69e42e39000000001401c803,,61d8682e000000001000803d,比赛呢，孩子还在饭撒[笑哭了R],2026.04.19,四川,4057.0,79.0,16,常态|观众,常态,观众,2,常态,0
69e429b4000000001b00037a,"张杰演唱会机器人来参加半马了？？

",,2026.0,1,69e437270000000014019410,,5e3a90670000000001003f6b,像ADHD似的 总是忘记正事被别的事吸引注意力[doge][doge][doge],2026.04.19,北京,2522.0,73.0,41,常态|观众,常态,观众,8,常态,0
69e634590000000022003bb5,"每个马拉松机器人，都有自己的热血故事。

",,824.0,1,69e642c8000000001401e410,,6517595d000000002402de5d,我拍到他了，都好努力,2026.04.20,北京,1719.0,28.0,10,常态|观众,常态,观众,2,常态,0
69e429b4000000001b00037a,"张杰演唱会机器人来参加半马了？？

",,2026.0,1,69e42e61000000001401941b,,566d14b30bf90c443a1fef04,兄弟还在逆战,2026.04.19,北京,1615.0,44.0,6,常态|观众,常态,观众,2,常态,0
69e46032000000001f002048,"看着你们累倒在地上我很心疼，恨不得替你们

",,5680.0,2,69e95d3a000000001401e80b,69e7007f000000001401a400,59d62c9f51783a2df7b57cb8,不早了，都会跑了马上就了追着揍了。,2026.04.23,重庆,1346.0,,17,常态|保护者,常态,保护者,2,常态,0
69e43a5a000000001d01dcc7,"机器人嘲讽同伴

",1966.0,167.0,1,69e450da000000001401d82d,,59b22f86db2e607509e8b39e,72的结局[偷笑R],2026.04.19,北京,681.0,44.0,10,常态|观众,常态,观众,2,常态,0
69e634590000000022003bb5,"每个马拉松机器人，都有自己的热血故事。

",,824.0,1,69e657ce000000001401b80c,,5a9c973d4eacab6a19648b5a,嗯，看了很多视频，这个视频最珍贵，有那么一点点带灵魂的感觉了，这个背影是我们进步的一大步,2026.04.21,河南,592.0,1.0,44,常态|观众,常态,观众,9,常态,0
69e634590000000022003bb5,"每个马拉松机器人，都有自己的热血故事。

",,824.0,2,69e6ce48000000001401900c,69e6c0e9000000001401a00a,54eddf14d39ea255a223d08a,语音控制电瓶车上的程序员吧[偷笑R],2026.04.21,北京,474.0,,18,常态|观众,常态,观众,4,常态,0
